Timestamp,Gender,Age,Professional Role:,Highest Level of Education:,Number of years in your professional role:,Please indicate your area of expertise. ,Type of working environment:,Where is your company located? (Country),How many employees does your company have?,Projects in our company start with a sponsor user,Sponsor users stay through the project,Sponsor users are very committed throughout the project,Sponsor users have confidence in the project manager and team members,Sponsor users are involved in making schedule estimates and have realistic estimates,We have a project manager on the team for every project,Project managers on projects define the scope for projects with high accuracy,Project managers estimate the cost and time frames for projects accurately,Project managers work as a liaison between the development team and non-development team and gain stakeholders’ approval for project activities.,Project managers provide the development team with all they need to be able to deliver quality products,Project managers are able to measure project progress and control project changes accurately.,Requirements are complete and accurate at the start of the project.,The scope of the project is well defined throughout the project.,Requirements specified at the beginning of the project result in well-defined deliverables,Developers are provided with all the information they need to complete tasks given them.,Internet access is available for every member of the team.,Every single member of the team has access to a personal computer to work with.,Working equipment members use to work are high-level computers that can execute necessary tasks with ease.,Cost of projects satisfy budget.,Time taken to complete project lines up with the schedule,Project specifications and objectives are met.,Projects meet privacy obligations and regulatory compliance, if applicable.
01/09/2021 12:08:09,Male,26–35 years,Software Developer ,Bachelor’s Degree,2-5 years,Front-end Development,Hybrid,Ghana,5-20,6,6,6,6,6,3,4,4,4,4,5,4,4,5,4,6,7,7,5,4,4,3
01/09/2021 12:10:33,Male,26–35 years,Software Developer,Bachelor’s Degree,2-5 years,Full-stack Development,Hybrid,Ghana,5-20,1,1,1,1,2,1,1,1,1,1,1,5,5,3,3,3,6,4,2,4,6,5
01/09/2021 12:15:11,Male,19-25 years,Software Developer,Bachelor’s Degree,Less than 1 year,Project Management,Hybrid,"Ghana",5-20,4,7,4,3,3,1,3,7,6,3,4,6,6,3,4,6,7,5,5,3,5,6
01/09/2021 12:16:37,Male,19-25 years,Software Developer,Bachelor’s Degree,Less than 1 year,Full-stack Development,Remote,Ghana,5-20,7,7,4,4,4,7,7,7,4,6,6,4,4,4,1,7,7,7,7,7,6,5
01/09/2021 13:41:48,Male,19-25 years,Software Developer,Bachelor’s Degree,1-2 years,Front-end Development,Hybrid,Ghana,5-20,4,4,4,4,4,6,6,5,5,5,5,5,5,5,5,6,7,6,5,5,6,6
02/09/2021 09:35:53,Male,19-25 years,Software Developer,Bachelor’s Degree,2-5 years,Full-stack Development,Hybrid,Ghana,5-20,4,3,5,6,2,5,5,5,7,7,6,5,5,5,5,7,7,5,6,5,6,6
02/09/2021 10:23:08,Male,26–35 years,Software Developer,Bachelor’s Degree,1-2 years,Full-stack Development,Remote,Nigeria,1-5,4,3,4,6,5,2,3,4,4,4,3,5,3,3,4,5,5,5,3,3,4,4
02/09/2021 10:49:40,Male,19-25 years,Software Developer,Bachelor’s Degree,Less than 1 year,Front-end Development,Hybrid,Ghana,5-20,5,5,3,5,4,7,7,7,6,6,6,5,5,5,4,7,7,7,5,5,5,7
02/09/2021 10:53:39,Male,19-25 years,Software Developer,Bachelor’s Degree,1-2 years,Full-stack Development,Hybrid,Ghana,20-100,6,6,5,6,3,7,7,5,5,7,6,3,5,5,3,7,7,7,6,7,7,6
02/09/2021 10:58:49,Male,19-25 years,Software Developer,Bachelor’s Degree,2-5 years,Front-end Development,Hybrid,Ghana,5-20,6,5,4,5,4,6,5,5,6,6,6,5,5,6,5,6,6,6,5,6,6,5
02/09/2021 11:08:54,Male,19-25 years,Software Developer,Bachelor’s Degree,1-2 years,Front-end Development,Hybrid,Ghana,20-100,3,1,2,5,1,6,6,5,7,5,6,3,4,5,6,7,3,2,5,4,6,7
02/09/2021 12:18:47,Male,19-25 years,Software Developer,Bachelor’s Degree,1-2 years,Front-end Development,Office,Ghana,1-5,5,4,5,5,4,4,4,4,5,5,6,5,4,6,3,7,7,7,5,5,5,6
02/09/2021 12:58:53,Male,19-25 years,Insurance Officer,Bachelor’s Degree,1-2 years,Front-end Development,Office,Ghana,20-100,2,2,2,3,2,4,4,3,5,3,4,3,2,3,4,7,7,1,4,3,3,6
02/09/2021 14:50:21,Male,19-25 years,Software Developer,Bachelor’s Degree,1-2 years,Full-stack Development,Office,Ghana,20-100,7,6,6,6,5,7,7,7,6,6,7,7,6,6,7,5,7,7,4,5,6,7
02/09/2021 15:04:55,Male,19-25 years,"Software Developer, Project Manager",Bachelor’s Degree,2-5 years,"Full-stack Development, Project Management",Office,Nigeria,100 and above,5,6,6,6,6,7,5,5,7,5,5,5,5,5,6,7,7,7,6,4,6,7
02/09/2021 22:46:32,Male,19-25 years,Software Developer,Bachelor’s Degree,1-2 years,Front-end Development,Hybrid,Ghana,5-20,7,7,5,7,7,7,5,7,4,6,7,6,6,6,6,7,7,4,5,6,5,5
02/09/2021 22:47:46,Male,26–35 years,Software Developer,Bachelor’s Degree,Less than 1 year,Front-end Development,Remote,Ghana,5-20,5,6,5,5,5,5,6,5,5,4,4,4,5,5,5,4,5,4,5,5,5,4
02/09/2021 23:04:18,Male,19-25 years,Software Developer,Master’s Degree,Less than 1 year,Project Management,Office,Ghana,100 and above,6,6,6,6,7,7,6,6,6,6,6,7,6,5,6,7,6,6,6,3,6,6
02/09/2021 23:11:26,Male,19-25 years,Teaching ,Bachelor’s Degree,1-2 years,Full-stack Development,Remote,Ghana,5-20,5,2,4,3,6,5,3,5,5,4,3,2,4,4,7,2,4,2,2,4,2,3
03/09/2021 07:01:22,Female,19-25 years,Software Developer,Bachelor’s Degree,Less than 1 year,Back-end Development,Hybrid,Ghana,5-20,2,2,1,2,1,2,1,1,1,1,2,1,2,5,4,6,6,4,4,5,4,3
03/09/2021 10:29:11,Male,19-25 years,Software Developer,Bachelor’s Degree,2-5 years,Full-stack Development,Hybrid,Ghana,5-20,4,4,5,5,3,5,4,4,3,3,4,4,4,4,4,6,7,7,5,3,5,4
03/09/2021 12:39:51,Male,26–35 years,Software Developer,Bachelor’s Degree,2-5 years,Full-stack Development,Hybrid,Ghana,5-20,7,7,4,5,4,3,4,5,3,3,4,4,4,4,4,7,7,5,3,4,6,4
03/09/2021 15:22:16,Male,26–35 years,Software Developer,Master’s Degree,2-5 years,Back-end Development,Hybrid,France,20-100,2,1,2,6,1,7,7,7,3,4,6,6,5,4,7,7,7,7,6,6,7,6
03/09/2021 17:28:42,Male,26–35 years,Software Developer,Bachelor’s Degree,2-5 years,Front-end Development,Hybrid,Ghana,5-20,5,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,4,5,4,5
